,0,1,2,3,4,5,6,7,8,9,10
0,24239.0,Pontiac,Vibe,AWD Sportwagon 4D,Wagon,4,1.8,4,1,0,0
1,,Chevrolet,Cavalier,LS Sedan 4D,Sedan,4,2.2,4,0,1,1
2,19531.0,Pontiac,Vibe,AWD Sportwagon 4D,Wagon,4,1.8,4,1,1,1
3,1676.0,SAAB,9_5,Arc Sedan 4D,Sedan,4,2.3,4,1,1,1
4,,Chevrolet,Impala,LS Sedan 4D,Sedan,6,3.8,4,1,0,0
5,16235.0,Buick,Lacrosse,CXS Sedan 4D,Sedan,6,3.8,4,1,1,0
6,,Chevrolet,Cavalier,LS Sedan 4D,Sedan,4,2.2,4,0,1,1
7,21675.0,Chevrolet,Malibu,LS Sedan 4D,Sedan,6,3.5,4,1,1,1
8,,Cadillac,Deville,DTS Sedan 4D,Sedan,8,4.6,4,1,0,1
9,4188.0,Pontiac,Grand Am,SE Sedan 4D,Sedan,4,2.2,4,1,1,1
10,23359.0,Buick,Lacrosse,CX Sedan 4D,Sedan,6,3.6,4,1,1,1
11,5936.0,Chevrolet,Malibu,LS MAXX Hback 4D,Hatchback,6,3.5,4,0,1,1
12,22598.0,SAAB,9_3 HO,Arc Sedan 4D,Sedan,4,2.0,4,1,0,1
13,21160.0,SAAB,9_3 HO,Aero Sedan 4D,Sedan,4,2.0,4,1,1,1
14,21132.0,Pontiac,Grand Prix,GTP Sedan 4D,Sedan,6,3.8,4,1,1,1
15,11975.0,Cadillac,Deville,Sedan 4D,Sedan,8,4.6,4,1,1,1
16,9135.0,Buick,Century,Sedan 4D,Sedan,6,3.1,4,1,1,0
17,24318.0,Pontiac,Sunfire,Coupe 2D,Coupe,4,2.2,2,1,1,1
18,881.0,Pontiac,Grand Am,GT Coupe 2D,Coupe,6,3.4,2,0,1,1
19,18315.0,Pontiac,Grand Am,GT Coupe 2D,Coupe,6,3.4,2,0,1,1
20,19465.0,Pontiac,Vibe,AWD Sportwagon 4D,Wagon,4,1.8,4,1,0,0
21,23133.0,Chevrolet,Malibu,LT Sedan 4D,Sedan,6,3.5,4,1,1,1
22,25516.0,Pontiac,G6,Sedan 4D,Sedan,6,3.5,4,1,0,1
23,14788.0,Chevrolet,Monte Carlo,LT Coupe 2D,Coupe,6,3.8,2,1,1,1
24,26204.0,Chevrolet,Cobalt,Sedan 4D,Sedan,4,2.2,4,0,1,1
25,18021.0,Chevrolet,Monte Carlo,LT Coupe 2D,Coupe,6,3.8,2,1,0,1
26,8880.0,Chevrolet,Cobalt,LS Sedan 4D,Sedan,4,2.2,4,0,1,1
27,17480.0,Buick,Park Avenue,Special Ed Ultra 4D,Sedan,6,3.8,4,1,1,0
28,15898.0,Chevrolet,Monte Carlo,LS Coupe 2D,Coupe,6,3.8,2,1,0,0
29,15768.0,Chevrolet,Cobalt,LS Coupe 2D,Coupe,4,2.2,2,1,1,1
30,18771.0,Chevrolet,Malibu,LT MAXX Hback 4D,Hatchback,6,3.5,4,0,1,1
31,10338.0,Pontiac,G6,Sedan 4D,Sedan,6,3.5,4,1,0,0
32,22596.0,Buick,Lacrosse,CXL Sedan 4D,Sedan,6,3.6,4,1,0,0
33,,Chevrolet,AVEO,SVM Hatchback 4D,Hatchback,4,1.6,4,0,1,1
34,18419.0,Pontiac,Bonneville,SE Sedan 4D,Sedan,6,3.8,4,1,1,1
35,25931.0,Chevrolet,Monte Carlo,LS Coupe 2D,Coupe,6,3.8,2,1,1,0
36,20043.0,Chevrolet,Cavalier,LS Sport Sedan 4D,Sedan,4,2.2,4,0,1,1
37,24992.0,Pontiac,Grand Prix,GTP Sedan 4D,Sedan,6,3.8,4,1,0,0
38,23371.0,Cadillac,CST-V,Sedan 4D,Sedan,8,5.7,4,1,0,1
39,31424.0,Pontiac,Vibe,GT Sportwagon,Wagon,4,1.8,4,0,0,0
40,7065.0,Chevrolet,Monte Carlo,LT Coupe 2D,Coupe,6,3.8,2,1,1,0
41,25489.0,Buick,Park Avenue,Sedan 4D,Sedan,6,3.8,4,1,1,1
42,19014.0,Chevrolet,AVEO,LT Sedan 4D,Sedan,4,1.6,4,0,1,1
43,6224.0,Chevrolet,Cavalier,LS Sport Coupe 2D,Coupe,4,2.2,2,0,1,1
44,22152.0,Chevrolet,Monte Carlo,LT Coupe 2D,Coupe,6,3.8,2,1,1,1
45,7115.0,Chevrolet,Cobalt,Sedan 4D,Sedan,4,2.2,4,1,1,1
46,17138.0,Cadillac,Deville,DHS Sedan 4D,Sedan,8,4.6,4,1,0,1
47,24021.0,Buick,Century,Sedan 4D,Sedan,6,3.1,4,1,0,1
48,37128.0,Buick,Park Avenue,Special Ed Ultra 4D,Sedan,6,3.8,4,1,1,1
49,9561.0,Chevrolet,Cobalt,Sedan 4D,Sedan,4,2.2,4,0,1,1
50,14281.0,SAAB,9_3 HO,Aero Sedan 4D,Sedan,4,2.0,4,1,1,1
51,27384.0,Chevrolet,Impala,SS Sedan 4D,Sedan,6,3.8,4,1,1,1
52,15233.0,Chevrolet,Cobalt,Sedan 4D,Sedan,4,2.2,4,0,1,1
53,17353.0,Buick,Lesabre,Limited Sedan 4D,Sedan,6,3.8,4,1,0,0
54,34815.0,Chevrolet,Cobalt,LS Sedan 4D,Sedan,4,2.2,4,0,1,1
55,22571.0,Chevrolet,Cavalier,LS Coupe 2D,Coupe,4,2.2,2,1,1,1
56,,Chevrolet,Corvette,Coupe 2D,Coupe,8,6.0,2,1,1,1
57,21433.0,SAAB,9_3,Linear Sedan 4D,Sedan,4,2.0,4,1,1,1
58,16088.0,SAAB,9_3 HO,Arc Conv 2D,Convertible,4,2.0,2,1,0,1
59,10414.0,Chevrolet,Monte Carlo,LS Coupe 2D,Coupe,6,3.8,2,1,1,0
60,17711.0,SAAB,9_3,Linear Conv 2D,Convertible,4,2.0,2,1,1,0
61,19569.0,SAAB,9_3,Linear Sedan 4D,Sedan,4,2.0,4,1,1,0
62,10800.0,SAAB,9_3 HO,Arc Sedan 4D,Sedan,4,2.0,4,1,1,0
63,23193.0,Cadillac,XLR-V8,Hardtop Conv 2D,Convertible,8,4.6,2,1,1,1
64,10237.0,Buick,Lacrosse,CX Sedan 4D,Sedan,6,3.6,4,1,0,0
65,20829.0,Pontiac,Grand Prix,GT Sedan 4D,Sedan,6,3.8,4,1,0,0
66,7924.0,SAAB,9_5,Arc Sedan 4D,Sedan,4,2.3,4,1,0,1
67,24461.0,Chevrolet,Malibu,LT MAXX Hback 4D,Hatchback,6,3.5,4,0,1,1
68,4463.0,Pontiac,Vibe,Sportwagon 4D,Wagon,4,1.8,4,1,0,1
