,0
0,24239.0
1,
2,19531.0
3,1676.0
4,
5,16235.0
6,
7,21675.0
8,
9,4188.0
10,23359.0
11,5936.0
12,22598.0
13,21160.0
14,21132.0
15,11975.0
16,9135.0
17,24318.0
18,881.0
19,18315.0
20,19465.0
21,23133.0
22,25516.0
23,14788.0
24,26204.0
25,18021.0
26,8880.0
27,17480.0
28,15898.0
29,15768.0
30,18771.0
31,10338.0
32,22596.0
33,
34,18419.0
35,25931.0
36,20043.0
37,24992.0
38,23371.0
39,31424.0
40,7065.0
41,25489.0
42,19014.0
43,6224.0
44,22152.0
45,7115.0
46,17138.0
47,24021.0
48,37128.0
49,9561.0
50,14281.0
51,27384.0
52,15233.0
53,17353.0
54,34815.0
55,22571.0
56,
57,21433.0
58,16088.0
59,10414.0
60,17711.0
61,19569.0
62,10800.0
63,23193.0
64,10237.0
65,20829.0
66,7924.0
67,24461.0
68,4463.0
69,19602.0
70,19136.0
71,19699.0
72,27674.0
73,21128.0
74,38866.0
75,15253.0
76,18391.0
77,29260.0
78,25598.0
79,636.0
80,20186.0
81,24842.0
82,29410.0
83,36480.0
84,26779.0
85,266.0
86,25464.0
87,21688.0
88,14311.0
89,10210.0
90,29325.0
91,6709.0
92,24027.0
93,20453.0
94,19562.0
95,4318.0
96,27218.0
97,6048.0
98,21420.0
99,21266.0
100,41566.0
101,6761.0
102,25557.0
103,8345.0
104,27249.0
105,19565.0
106,25065.0
107,7961.0
108,25020.0
109,17583.0
110,32896.0
111,11069.0
112,26700.0
113,23767.0
114,27830.0
115,27431.0
116,28385.0
117,2992.0
118,20208.0
119,26028.0
120,23748.0
121,21386.0
122,21181.0
123,
124,26034.0
125,5653.0
126,
127,16950.0
128,12466.0
129,25550.0
130,18040.0
131,5189.0
132,
133,788.0
134,23852.0
135,19894.0
136,18910.0
137,25476.0
138,21929.0
139,9380.0
140,19816.0
141,25794.0
142,23124.0
143,22771.0
144,
145,10577.0
146,25240.0
147,7054.0
148,24439.0
149,32535.0
150,
151,25387.0
152,26345.0
153,20374.0
154,34447.0
155,9150.0
156,14743.0
157,6114.0
158,14438.0
159,13162.0
160,20000.0
161,22729.0
162,18721.0
163,28492.0
164,2464.0
165,26400.0
166,3629.0
167,22225.0
168,22382.0
169,23612.0
170,15516.0
171,15087.0
172,32462.0
173,18200.0
174,14504.0
